ENTREZID,SYMBOL,GENENAME,MCL1.DG,MCL1.DH,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LA,MCL1.LB,MCL1.LC,MCL1.LD,MCL1.LE,MCL1.LF
497097,Xkr4,X-linked Kx blood group related 4,3.932531533,3.507367936,1.272317297,3.292540657,3.990985077,3.724251838,-5.801942421,-5.888782096,-5.481642143,-5.343143313,-4.70920566,-4.72261463
20671,Sox17,SRY (sex determining region Y)-box 17,1.89080812,2.787899409,1.605216509,2.121856142,0.964286755,1.923155906,-0.757548302,-0.216356754,-0.272188777,-1.255680471,-1.901850738,-0.330297207
27395,Mrpl15,mitochondrial ribosomal protein L15,3.429894099,3.149590867,3.637637987,3.631978134,3.703737613,3.636318476,4.328628141,3.970752691,4.453522907,4.016606248,4.55523694,4.697345548
18777,Lypla1,lysophospholipase 1,4.505932592,4.285975372,5.128398258,5.270350797,5.380101359,5.185279232,4.888928588,4.863598551,4.903141607,4.993363247,5.379582579,5.461020752
21399,Tcea1,transcription elongation factor A (SII) 1,5.804006574,5.82255895,5.988344761,5.7643442,5.700630364,5.615501943,5.580141169,5.408707405,5.57972905,5.512503853,5.280898304,5.244611629
58175,Rgs20,regulator of G-protein signaling 20,-2.673976498,-3.40192515,-0.90312471,-2.429318045,-3.156728646,-3.121238213,2.611685508,2.481905311,2.632100023,1.575719925,1.072154054,0.231581681
108664,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H",4.743876016,4.831694527,5.292141421,5.348393892,5.480620765,5.376214483,5.630077425,5.593521687,6.301765399,6.273864915,6.668547135,6.617791861
12421,Rb1cc1,RB1-inducible coiled-coil 1,5.701545682,5.740181907,5.415690773,5.318874805,6.168351898,6.180257982,5.500125251,5.495462027,5.849834679,5.977093133,5.777629362,5.559315397
319263,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,5.54895254,5.555176891,5.663585487,6.038740258,6.508251884,6.509938843,5.282201589,5.020360952,5.535862258,5.817358435,6.77006937,6.788643866
59014,Rrs1,ribosome biogenesis regulator 1,5.880185962,6.096724638,6.293837712,6.092064284,5.153429672,4.645621931,5.435865052,5.176634039,5.590490461,5.546360651,4.873877108,4.955105012
76187,Adhfe1,"alcohol dehydrogenase, iron containing, 1",-0.634448134,-0.769656935,-0.806909395,-0.172978292,0.136053103,0.171543536,-0.074021967,0.905633771,2.948810409,3.282565531,4.242079055,4.257524948
72481,2610203C22Rik,RIKEN cDNA 2610203C22 gene,-2.384469881,-2.916498323,-2.953750783,-2.429318045,-0.349373724,-0.799310118,-0.516540202,-0.934585785,0.29971757,1.398323674,0.500247706,-0.07875844
76982,3110035E14Rik,RIKEN cDNA 3110035E14 gene,-0.714618483,-2.023413527,-0.806909395,-0.389789681,1.922222696,1.832958098,-2.342510803,-1.801319254,-1.23371463,-1.436252717,-1.008765942,-1.263183011
17864,Mybl1,myeloblastosis oncogene-like 1,4.734471191,4.346267699,3.401285624,3.436930566,4.007172568,3.69894075,3.200872594,3.394306257,2.652784177,2.80151493,1.594575088,1.90674199
70675,Vcpip1,valosin containing protein (p97)/p47 complex interacting protein 1,5.70828726,5.705030307,5.390545125,5.397230442,5.727747173,5.458454851,5.725045784,5.787615791,6.016708465,5.990571114,5.178014956,5.033941693
170755,Sgk3,serum/glucocorticoid regulated kinase 3,3.287955461,3.137233661,2.423769638,2.595513808,3.25266229,3.417920598,2.895025105,2.507822685,1.312773723,1.527221407,1.700185276,1.467209929
620986,Gm6195,predicted pseudogene 6195,1.098613005,1.415698107,1.109259015,1.366541238,1.463857765,1.27107921,2.192411016,2.012084712,1.595173454,1.25676953,1.356883531,0.892095214
73824,Snhg6,small nucleolar RNA host gene 6,3.617577947,3.793816143,3.968515039,3.902594139,3.132368057,2.818928538,3.861615683,3.663887002,3.208355828,3.245571323,2.8376888,2.82427983
266793,Snord87,"small nucleolar RNA, C/D box 87",-1.451584077,-1.200291289,-1.237543749,-0.741262051,-1.391193899,-2.635811386,-1.71447958,-2.429350477,-2.674287221,-3.021215218,-1.901850738,-4.72261463
100038398,NA,NA,1.167325756,-0.29758849,-0.206516853,0.233646968,-0.620675746,-0.233712942,-1.554014908,-1.496464673,-1.781202425,0.489746702,0.576196559,0.231581681
26754,Cops5,COP9 signalosome subunit 5,5.303939394,5.31437989,5.436725293,5.41128506,5.422964418,5.233672299,5.77878723,5.854790093,5.996621888,5.90893073,5.811413021,5.853869717
211660,Cspp1,centrosome and spindle pole associated protein 1,4.545192022,4.52051059,4.185800569,4.163969321,4.604822587,4.664050768,4.331199791,4.395463654,4.384091128,4.615409403,4.26520893,4.335377093
211673,Arfgef1,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited),6.907433337,7.091730189,6.929110575,6.939673356,7.064133321,6.993805437,7.052731201,6.898508331,7.077973943,7.2453371,7.452241188,7.389499028
329093,Cpa6,carboxypeptidase A6,1.687479961,2.200959259,1.722710072,1.343271459,1.681214596,1.545518379,-5.801942421,-5.888782096,-5.481642143,-5.343143313,-4.70920566,-4.72261463
109294,Prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",3.757869289,4.388586262,2.423769638,2.605328098,2.624631068,2.892224047,2.301345387,2.354391888,0.133067701,0.923643228,2.256578625,1.720328866
240725,Sulf1,sulfatase 1,4.944816833,5.191279204,3.611759355,4.465499718,4.294482466,4.097930308,0.607448515,1.099902591,-1.08932472,-0.819581356,0.500247706,0.406668387
240726,Slco5a1,"solute carrier organic anion transporter family, member 5A1",0.422885041,-0.769656935,-0.206516853,-1.351315533,-1.086339318,-1.983734689,-1.047054919,-1.9818915,-0.272188777,-1.255680471,-3.124243159,-4.72261463
383491,Prdm14,PR domain containing 14,-1.756438659,-1.200291289,-1.006218203,-0.955386856,-0.269203375,-0.488969997,-2.342510803,-1.640854582,-2.022210524,-2.53578839,-4.70920566,-4.72261463
17978,Ncoa2,nuclear receptor coactivator 2,6.358528466,6.573349637,6.873932166,6.822558814,7.169925543,7.17636592,6.402323035,6.42268242,6.01571075,5.965764492,5.781645217,5.809741296
72265,Tram1,translocating chain-associating membrane protein 1,5.685040915,5.808989666,5.699862058,5.73447138,5.524861171,5.44176734,6.386337331,6.519282224,7.464350281,7.250481237,8.444188034,8.453714377
212442,Lactb2,"lactamase, beta 2",2.300756743,2.177013563,2.321043336,2.337394893,3.017198286,3.028508907,3.395274272,3.488428435,3.172993885,3.168609341,4.719154513,4.837718204
14048,Eya1,EYA transcriptional coactivator and phosphatase 1,3.287955461,3.877917543,3.927144604,3.918426342,4.479895975,4.831794164,-4.216979921,-3.566854001,-3.896679642,-3.758180812,-4.70920566,-3.137652129
17681,Msc,musculin,-2.384469881,-3.40192515,-2.953750783,-3.277314951,-3.156728646,-3.858203807,0.992473445,0.586951335,0.708182416,-0.298749193,-3.124243159,-2.400686535
21749,Terf1,telomeric repeat binding factor 1,3.235583284,3.155730005,2.742720033,2.595513808,2.926484722,3.347996581,2.942891416,2.89585275,2.751977534,2.760144496,3.562257368,3.202197874
226866,Sbspon,"somatomedin B and thrombospondin, type 1 domain containing",4.674751656,5.128676264,3.818210233,4.020976779,3.460922474,3.490524347,-1.409624999,-1.133894594,-2.674287221,-0.057741094,-4.70920566,-3.137652129
19989,Rpl7,ribosomal protein L7,8.920503627,9.312706752,9.043579937,9.002005437,8.76369865,8.635735013,9.077018513,8.976032769,9.079586126,9.071475864,8.195617094,8.156394184
98711,Rdh10,retinol dehydrogenase 10 (all-trans),6.337561381,6.13762143,6.060269687,5.692503235,5.841579705,5.996145154,4.278875106,4.682022342,4.795645257,4.908339098,3.129998128,3.038936603
29819,Stau2,staufen double-stranded RNA binding protein 2,3.783632385,3.988673755,4.298238756,4.26029174,4.301062614,4.058670877,3.92086511,4.046382954,4.393339205,4.138656119,3.871994922,4.075046896
66799,Ube2w,ubiquitin-conjugating enzyme E2W (putative),4.707806762,4.766997632,4.715640499,4.7461622,5.239876135,5.043668714,3.882806199,3.771213797,3.950899757,4.047025644,3.994697914,4.10075261
67923,Eloc,elongin C,6.763197594,6.788146424,6.646427627,6.51807538,6.56812623,6.508482678,5.594127136,5.387923924,5.369326008,5.310597466,5.392770011,5.309431097
70397,Tmem70,transmembrane protein 70,4.079425986,4.019298149,4.480877445,4.430044181,4.497191227,4.425656247,3.974490611,3.701804954,4.223990244,4.209525785,5.099758515,5.261803829
17087,Ly96,lymphocyte antigen 96,0.222187691,-0.29758849,1.00707862,0.667543494,1.235588777,0.534113616,1.436462318,1.595033682,2.906375142,2.83178237,3.02550396,2.74499092
57339,Jph1,junctophilin 1,2.796343436,2.620442663,2.983728133,2.920393207,2.6141004,2.331620752,1.581761871,0.740574524,1.312773723,1.164651328,1.700185276,1.720328866
14545,Gdap1,ganglioside-induced differentiation-associated-protein 1,-3.521973405,-3.40192515,-0.269252609,-0.389789681,-0.620675746,-1.050848885,-3.480014326,-3.566854001,-3.896679642,-3.758180812,-4.70920566,-3.137652129
94227,Pi15,peptidase inhibitor 15,2.092736439,3.149590867,2.652522224,3.496153977,2.33512445,1.814221535,-1.278380465,-1.496464673,-2.311717142,-3.758180812,-2.387277565,-2.400686535
83691,Crispld1,cysteine-rich secretory protein LCCL domain containing 1,3.868625501,4.862048205,3.54039049,3.622344075,3.529771881,3.587500828,-1.554014908,-1.496464673,-2.022210524,-2.53578839,-3.124243159,-0.815724034
21419,Tfap2b,transcription factor AP-2 beta,5.900511911,5.865329722,5.832752234,6.20448448,6.567444104,6.92233596,6.103820628,5.836158023,3.165816283,1.599371193,2.927418961,2.695237885
241035,Pkhd1,polycystic kidney and hepatic disease 1,-5.8439015,-5.723853245,-5.761105705,-5.599243046,-5.478656741,-3.858203807,-0.943961426,-0.396928999,-2.674287221,-5.343143313,-4.70920566,-4.72261463
17215,Mcm3,minichromosome maintenance complex component 3,5.601630719,5.47643236,4.757547451,4.379467413,2.686250186,2.421019837,5.960854841,5.621487575,5.624920797,4.126498505,5.400624994,5.485619729
74229,Paqr8,progestin and adipoQ receptor family member VIII,2.427561528,2.638090529,1.904230212,1.80163639,1.797467665,1.696385045,0.220425392,0.340036595,-2.674287221,-1.642703594,-3.124243159,-3.137652129
71877,Efhc1,EF-hand domain (C-terminal) containing 1,1.62370405,1.55227116,0.505680836,1.366541238,1.759747999,1.832958098,0.264146769,0.340036595,-2.311717142,-0.819581356,-1.249774041,-1.263183011
